mouseclick	Duration	hold	release
left	0.380984	1.304993	1.777770
left	0.377294	0.679846	0.949876
left	0.189372	0.598853	0.412807
left	0.026525	1.151174	1.588598
left	0.183759	1.475135	1.489352
left	0.442645	0.751260	1.263630
left	0.022463	0.596493	1.050137
left	0.238191	0.781010	0.932215
left	0.915483	0.705463	1.435538
left	0.470179	1.441678	0.270160
left	0.769255	0.518404	0.278453
left	0.950828	0.563220	1.056202
left	0.797745	1.045387	0.869000
left	0.202312	0.818169	1.907228
left	0.791207	1.464670	0.415454
left	0.271577	1.149651	0.586155
left	0.616466	0.689277	1.924814
left	0.356538	1.430812	1.269267
left	0.675520	1.282442	0.225074
left	0.764263	1.224129	0.334027
left	0.808852	1.035041	1.136497
left	0.218570	0.550571	1.293148
left	0.618939	0.958133	0.997372
left	0.866936	1.067039	0.872140
left	0.608021	0.963638	1.723487
left	0.623131	1.194766	0.731161
left	0.691780	1.283743	1.598782
left	0.784591	1.352016	0.688030
left	0.027119	0.552763	0.438477
left	0.382093	1.273729	0.654407
left	0.373090	0.929957	0.510713
left	0.325081	1.001268	0.884509
left	0.288075	1.272810	0.559477
left	0.138175	1.074483	0.735390
left	0.055145	1.141576	0.438623
left	0.540843	1.153160	1.046829
left	0.251209	0.569209	1.345292
left	0.414351	0.759323	1.871386
left	0.026798	1.211929	1.709390
left	0.150611	0.647986	1.263657
left	0.738796	1.110093	1.735126
left	0.084172	0.915078	1.619900
left	0.211267	0.603592	0.503979
left	0.498237	0.662724	1.893763
left	0.820218	1.285115	0.564976
left	0.613590	0.754205	1.269421
left	0.204328	0.572263	1.098312
left	0.910508	0.965564	1.735155
left	0.783551	1.333797	1.806109
left	0.578140	0.794220	0.249717
left	0.977598	1.050419	0.906010
left	0.478659	0.556832	0.442740
left	0.240769	1.158201	0.891412
left	0.771875	0.629207	0.484672
left	0.101173	1.257954	1.639022
left	0.513965	0.685761	0.123714
left	0.540289	1.477023	1.611062
left	0.486819	1.040751	1.908723
left	0.734403	0.968774	0.717854
left	0.424288	1.040622	1.128929
left	0.638555	1.246489	0.763746
left	0.793799	0.685606	1.320391
left	0.297765	1.209309	1.684433
left	0.580471	1.144224	0.137762
left	0.914027	1.222826	1.346920
left	0.842902	0.599331	1.948316
left	0.513739	0.674951	1.763363
left	0.671225	0.511610	1.545567
left	0.402459	0.590333	0.863146
left	0.099171	0.567128	0.457188
left	0.464130	0.658470	0.636495
left	0.097663	1.426082	1.897487
left	0.610520	0.649024	0.143806
left	0.739291	0.573232	1.809819
left	0.532028	1.307746	1.469630
left	0.545848	0.750667	0.780096
left	0.891187	1.299403	0.606443
left	0.447291	0.628336	1.572650
left	0.318659	0.903289	1.175266
left	0.071901	0.789877	1.252773
left	0.826261	1.129588	0.406308
left	0.210031	1.226131	1.209797
left	0.924021	0.967596	1.508467
left	0.502597	0.783578	1.895542
left	0.308700	1.235668	0.803216
left	0.125467	0.507672	0.126475
left	0.470341	1.039482	1.525736
left	0.476966	1.360784	0.396479
left	0.541639	0.768566	1.900683
left	0.777830	1.237417	1.234826
left	0.073294	1.039179	1.404152
left	0.268431	0.541321	1.331286
left	0.413048	1.407423	0.238966
left	0.702460	0.671301	1.788842
left	0.906370	1.128937	1.298848
left	0.015957	0.722980	1.324811
left	0.517682	0.586363	0.559360
left	0.774204	1.228496	1.234312
left	0.253019	1.364844	1.062852
left	0.913757	1.354651	1.407923
left	0.304985	0.773734	1.526807
left	0.725276	0.828914	0.628795
left	0.917923	1.396462	1.644344
left	0.603617	1.462712	0.334208
left	0.609049	0.713972	1.827763
left	0.809920	1.256342	1.220205
left	0.286758	0.582349	0.405230
left	0.472171	0.732199	1.276972
left	0.704397	0.934299	0.965167
left	0.698630	1.406805	0.721308
left	0.599211	0.538934	0.348621
left	0.708602	1.405309	1.326876
left	0.861774	1.320460	0.896286
left	0.881321	1.304997	1.405214
left	0.689029	1.418173	0.110609
left	0.186373	1.377219	1.951203
left	0.534744	1.248552	1.166105
left	0.015954	0.634508	0.362430
left	0.088393	1.320762	1.963931
left	0.235062	0.515903	1.012662
left	0.190034	1.407813	0.555152
left	0.013954	0.883216	0.149474
left	0.506672	0.944025	0.563867
left	0.782756	1.128120	1.909891
left	0.411669	1.482116	0.563936
left	0.999542	0.640208	0.987036
left	0.516738	0.605744	1.132312
left	0.566571	0.521115	0.873262
left	0.950142	1.429038	1.615219
left	0.485682	0.790480	0.724297
left	0.701227	0.598609	0.332401
left	0.481311	0.600887	1.860814
left	0.346662	0.840546	0.425725
left	0.620687	1.019344	0.688776
left	0.399864	0.667168	0.514219
left	0.929525	1.140563	1.053381
left	0.602722	0.680616	1.594219
left	0.508215	1.105714	1.433642
left	0.724099	0.670701	0.323849
left	0.033920	0.668891	1.333466
left	0.583019	0.635213	0.685907
left	0.990883	1.000357	0.714816
left	0.441284	0.599832	1.796799
left	0.291863	0.565733	1.795237
left	0.119343	0.669927	1.620048
left	0.361298	1.090810	1.563967
left	0.450673	0.915082	1.492309
left	0.296771	0.927177	0.355119
left	0.959311	1.026745	0.697153
left	0.984058	1.016642	0.318317
left	0.180498	0.698091	1.548827
left	0.296060	0.637332	0.610329
left	0.943485	1.205998	0.875009
left	0.545947	0.664753	1.114033
left	0.662440	0.656496	0.643888
left	0.536029	1.321896	1.614013
left	0.002106	0.543346	1.248121
left	0.759530	0.642456	0.883626
left	0.009407	1.183278	1.236752
left	0.136314	1.092553	1.667746
left	0.562211	0.520173	1.870926
left	0.919319	0.906887	0.104277
left	0.521365	1.168673	1.245498
left	0.293042	1.285815	0.616113
left	0.126153	1.343202	0.149911
left	0.818666	0.819085	1.846897
left	0.540454	1.386620	0.262002
left	0.303503	0.813427	0.855704
left	0.992894	1.473371	0.229890
left	0.096963	1.045068	0.518587
left	0.703250	1.183842	1.255455
left	0.392128	1.017380	1.266026
left	0.806209	0.868966	0.886490
left	0.734401	1.033531	1.663269
left	0.838115	1.274213	1.171698
left	0.936359	0.560312	0.410324
left	0.209653	0.761997	1.432855
left	0.890558	1.061613	1.938030
left	0.555212	0.924628	0.830772
left	0.909212	1.040611	1.711253
left	0.439660	0.682547	1.175441
left	0.740907	1.403579	1.416744
left	0.474606	1.323776	0.887505
left	0.221290	0.695333	1.397870
left	0.154664	0.897811	0.628049
left	0.153234	1.136466	1.590452
left	0.020447	0.632183	1.776708
left	0.844946	1.379520	1.376914
left	0.214299	1.328106	0.823951
left	0.775098	1.467032	0.774597
left	0.077615	0.920055	1.638198
left	0.580339	0.772067	1.392477
left	0.828565	1.039785	1.226516
left	0.390352	0.539729	0.457753
left	0.291421	1.250613	0.396558
left	0.705438	1.048790	0.921667
left	0.158500	1.436614	1.058138
left	0.654859	0.740804	0.578164
left	0.735319	1.126686	1.635986
left	0.460250	0.575662	1.570664
left	0.327027	0.685250	1.361579
left	0.176679	0.967189	0.558552
left	0.055402	0.786292	0.956363
left	0.744811	0.697754	1.237993
left	0.328624	1.494369	1.593034
left	0.853664	1.444698	1.347839
left	0.969845	0.560978	1.903960
left	0.265982	0.691197	1.643498
left	0.628390	0.656972	0.545766
left	0.588465	0.558954	0.597849
left	0.673070	1.431386	1.403041
left	0.892949	0.877992	0.444339
left	0.103512	0.652471	0.184442
left	0.600595	0.894853	0.683986
left	0.286020	0.925865	1.046125
left	0.816406	0.684428	1.168457
left	0.950715	1.431415	0.919909
left	0.682767	0.877321	0.466649
left	0.822442	1.137581	1.232889
left	0.910571	0.785576	1.483761
left	0.101086	1.466001	0.310936
left	0.767055	1.362872	1.708247
left	0.604483	1.409740	0.977392
left	0.892187	1.059116	0.521810
left	0.248659	0.638283	1.559229
left	0.872165	0.534104	1.591593
left	0.335914	0.748585	1.934293
left	0.457190	1.303747	1.014275
left	0.840405	0.797494	1.022754
left	0.512932	1.455292	1.942680
left	0.343410	0.696010	1.433716
left	0.761165	1.017306	0.255992
left	0.282676	1.373446	1.531735
left	0.657448	0.924914	0.849208
left	0.704763	0.853808	1.363575
left	0.361173	0.808102	0.811566
left	0.695714	1.145955	0.882961
left	0.628895	1.455924	0.833312
left	0.795102	1.178386	0.486616
left	0.614728	1.441097	1.189868
left	0.916366	1.043440	1.670983
left	0.027545	0.848702	1.829999
left	0.908511	1.376128	1.769507
left	0.804078	1.290169	1.663657
left	0.345895	0.876021	1.310858
left	0.875061	1.154732	0.953062
left	0.480114	1.142114	1.205732
left	0.246830	1.156936	1.731111
left	0.375015	0.846784	1.020925
left	0.534834	1.093786	0.221324
left	0.996921	0.876104	1.351960
left	0.460163	1.098313	0.529943
left	0.998118	0.884485	1.150074
left	0.945581	0.647333	1.353479
left	0.473431	0.526584	1.866695
left	0.542686	1.115077	0.395405
left	0.021125	0.920258	1.387009
left	0.350466	0.900585	0.614949
left	0.315984	1.353716	0.812047
left	0.788190	0.960190	1.257317
left	0.048923	0.779470	1.409257
left	0.028436	0.608130	0.382636
left	0.933669	0.655935	0.784355
left	0.155549	0.662765	1.239141
left	0.376712	1.331296	1.110957
left	0.672027	0.854684	0.495723
left	0.956234	1.474340	1.783694
left	0.865927	0.604899	1.621584
left	0.863356	0.575352	0.370436
left	0.430666	0.595854	0.852831
left	0.670037	1.443069	1.882885
left	0.841316	0.781719	1.302984
left	0.928901	0.867708	1.717837
left	0.756972	1.421439	0.747061
left	0.167336	1.305853	1.681016
left	0.177719	0.637102	0.767189
left	0.053139	0.668494	1.225169
left	0.741304	1.178031	0.352975
left	0.202891	1.270707	0.995781
left	0.480848	0.775397	1.067789
left	0.550177	0.785691	1.540847
left	0.643545	0.991957	0.288964
left	0.187062	0.598328	0.688693
left	0.989780	1.249816	0.706164
left	0.974456	1.463750	1.346185
left	0.032719	0.753210	0.935357
left	0.650460	1.357491	0.419437
left	0.528614	0.562080	1.072714
left	0.668794	1.211145	1.603180
left	0.485706	0.603652	1.371475
left	0.616291	1.117301	0.180939
left	0.274755	1.463080	0.862672
left	0.773956	1.040483	1.582992
left	0.741798	1.054724	1.034872
left	0.392856	1.110802	1.062097
left	0.401764	1.196829	1.918506
left	0.742528	1.351067	0.642820
left	0.600818	0.576936	0.427621
left	0.910620	1.208880	1.807588
left	0.870159	1.431175	1.929909
left	0.185471	0.811973	0.341054
left	0.179834	1.345142	1.126878
left	0.581329	1.182977	0.964433
left	0.854463	1.377747	0.809379
left	0.878908	0.812776	0.487264
left	0.098832	0.529482	0.975279
left	0.939673	1.293478	1.575004
left	0.860064	1.241336	0.456959
left	0.272348	1.164079	0.623112
left	0.983089	0.609752	1.674067
left	0.530030	1.489972	0.408929
left	0.556437	1.164631	0.133866
left	0.094059	0.962083	1.782221
left	0.735336	1.118342	0.797479
left	0.537911	0.920890	0.180685
left	0.667757	0.519604	1.188723
left	0.559120	1.223133	1.436122
left	0.341497	0.934958	1.701009
left	0.431507	0.838491	0.536523
left	0.401513	0.813447	1.278319
left	0.651053	0.543685	1.602128
left	0.324426	0.931072	1.463931
left	0.241514	1.207340	1.980838
left	0.522230	1.387401	0.359845
left	0.683487	1.431586	1.692855
left	0.948903	0.636564	0.657003
left	0.313747	1.219771	0.777586
left	0.939891	1.145498	1.149357
left	0.095756	0.972662	1.034226
left	0.338424	0.744957	0.526734
left	0.021708	1.391239	1.055040
left	0.713850	0.529122	0.322896
left	0.356123	0.549929	0.117356
left	0.030828	0.857439	1.961193
left	0.730822	0.636832	0.410695
left	0.517329	1.496708	0.397613
left	0.184943	0.554597	1.270682
left	0.698125	1.071639	0.522802
left	0.748609	0.759659	0.174282
left	0.161446	1.354999	0.271782
left	0.236751	0.817885	0.545656
left	0.114737	0.910024	1.672853
left	0.109355	0.681332	0.786847
left	0.306490	0.875368	0.200752
left	0.269169	1.088616	1.543161
left	0.366484	0.818447	1.991588
left	0.434916	1.234421	0.718267
left	0.821150	1.281556	0.609548
left	0.120975	1.351258	1.403604
left	0.048778	0.650487	1.623682
left	0.922463	0.919501	0.358133
left	0.363214	0.763528	0.490878
left	0.143339	0.788628	0.759009
left	0.696210	0.951995	1.045285
left	0.424144	0.606250	0.680537
left	0.784612	0.877243	1.423988
left	0.205729	0.517124	0.793065
left	0.242491	1.010369	1.445297
left	0.662776	0.607005	1.703941
left	0.467630	1.334882	0.641103
left	0.843101	0.605260	0.251059
left	0.268327	0.579383	1.108736
left	0.666446	1.343929	1.341313
left	0.860967	0.787028	0.590923
left	0.759223	0.942804	0.117540
left	0.770229	0.598895	1.274065
left	0.449358	0.763255	0.469274
left	0.079408	1.487160	1.831431
left	0.660724	0.718485	0.137554
left	0.288155	0.574210	1.591292
left	0.878586	0.768291	1.017193
left	0.618540	0.882654	0.676476
left	0.863853	0.695206	1.588265
left	0.795196	0.990456	1.671715
left	0.603477	1.056025	1.407200
left	0.388398	1.198151	0.459894
left	0.855492	0.591325	0.506361
left	0.214512	1.293850	0.534030
left	0.691942	0.771734	1.570509
left	0.370296	1.101703	0.770245
left	0.453090	1.158864	0.278269
left	0.000908	1.026513	1.208099
left	0.122783	0.902741	1.209512
left	0.339977	0.781391	1.399791
left	0.434821	0.529330	0.700045
left	0.807332	1.332092	1.433229
left	0.084853	1.351493	0.774347
left	0.020449	0.504301	1.852106
left	0.385267	0.597382	0.678769
left	0.793098	1.053825	1.578676
left	0.542219	0.645474	1.603310
left	0.566498	0.587071	0.278415
left	0.534885	1.422758	1.924983
left	0.390907	0.763316	1.481360
left	0.534714	1.206312	1.834971
left	0.471811	1.203128	0.562749
left	0.287123	0.820902	0.501444
left	0.095757	0.998916	0.717706
left	0.292520	1.399836	0.336525
left	0.776631	0.818939	1.080641
left	0.234754	1.345071	0.964769
left	0.338444	0.950222	0.552688
left	0.330471	1.491658	0.485841
left	0.758048	1.138762	0.769881
left	0.976680	1.173743	1.341435
left	0.988629	0.665700	0.556418
left	0.266701	0.848228	1.178025
left	0.344927	1.076797	1.331048
left	0.998255	0.904803	1.816868
left	0.380960	1.104474	0.899798
left	0.213880	1.441838	1.576565
left	0.885667	1.132150	1.714140
left	0.586452	0.604142	1.333564
left	0.927325	1.100289	0.799023
left	0.703461	1.490913	0.649541
left	0.727930	1.032181	0.543076
left	0.256264	0.922584	1.466147
left	0.811708	1.036177	1.128000
left	0.502236	1.096212	1.019046
left	0.527287	0.655429	1.751135
left	0.531397	0.567399	1.738139
left	0.617966	1.301810	1.597634
left	0.442145	0.630208	0.258297
left	0.467142	1.316984	1.756813
left	0.877273	1.461922	1.789698
left	0.192607	0.529019	1.473015
left	0.739334	0.745367	0.660351
left	0.952958	1.426762	1.335480
left	0.483174	1.407553	0.995114
left	0.714027	1.216848	1.701401
left	0.642643	1.195404	0.837020
left	0.722410	1.330817	0.460711
left	0.084568	1.253434	0.145272
left	0.811311	1.442498	1.769728
left	0.388591	1.158045	1.860301
left	0.022713	0.746065	0.450497
left	0.760804	0.523210	0.763824
left	0.099955	0.595594	1.303661
left	0.195659	0.977270	1.836862
left	0.533060	0.980153	1.319860
left	0.434732	1.445589	1.012615
left	0.125945	0.534230	0.246217
left	0.936828	0.679894	1.523414
left	0.970173	0.816174	1.421542
left	0.606735	0.860507	0.809928
left	0.302831	1.410328	0.281858
left	0.607589	1.223138	0.238427
left	0.843023	1.392185	0.137056
left	0.691471	1.490483	0.765314
left	0.244740	0.853835	1.052120
left	0.326110	0.709898	1.299992
left	0.327799	1.140094	1.379253
left	0.332182	0.576304	1.823334
left	0.325372	0.804092	0.578107
left	0.087253	0.785146	1.321445
left	0.311894	0.888385	0.397472
left	0.429955	1.072326	1.324575
left	0.379197	1.305940	1.637921
left	0.234885	0.508285	0.729922
left	0.338097	1.068951	0.898665
left	0.559181	0.890194	1.313352
left	0.253348	0.556480	1.891554
left	0.227654	0.931577	1.207469
left	0.552936	0.723642	1.793712
left	0.943952	0.924125	1.967991
left	0.963664	1.211574	1.716453
left	0.987946	0.574863	0.139356
left	0.387575	1.263352	1.180260
left	0.422787	1.250084	0.485276
left	0.578097	0.637661	1.769818
left	0.171130	0.965059	0.913414
left	0.595425	0.589530	0.460391
left	0.397135	0.696550	1.099930
left	0.061143	0.744057	1.744778
left	0.973127	0.710292	0.198438
left	0.286314	1.286302	0.550779
left	0.147891	1.499428	1.064350
left	0.916967	0.529213	1.034841
left	0.371601	0.557440	0.272245
left	0.977461	1.338687	1.967028
left	0.926243	1.256716	1.143020
left	0.013683	1.126322	0.226564
left	0.075861	1.137247	0.821229
left	0.293225	1.066302	0.959701
left	0.490362	0.950378	1.668184
left	0.844553	1.196092	1.359622
left	0.790845	1.177583	0.493874
left	0.943010	0.853621	0.982544
left	0.535418	0.649376	0.446938
left	0.460644	0.928450	0.454478
left	0.288586	1.487732	0.531817
left	0.025902	0.830777	1.161708
left	0.007641	0.566514	1.725560
left	0.373070	0.766412	0.415693
left	0.159455	0.912717	1.796799
left	0.757202	0.915541	0.495410
left	0.480666	1.058556	1.716942
left	0.773068	1.249992	0.602001
left	0.302036	0.819326	1.048075
left	0.283950	0.505621	1.963046
left	0.553392	1.015093	0.346669
left	0.112611	1.311997	1.445799
left	0.848776	1.317621	0.406888
left	0.713322	0.783976	1.039335
left	0.467787	0.681618	0.196679
left	0.158426	1.345376	0.417261
left	0.101288	0.911089	1.137350
left	0.460087	1.021416	1.522162
left	0.272381	0.975851	0.735608
left	0.278554	0.956276	0.527583
left	0.715160	0.927777	1.112886
left	0.806719	0.550488	1.946667
left	0.446422	0.831840	1.578581
left	0.604739	1.186645	1.521096
left	0.484966	1.411043	0.734771
left	0.762653	1.197258	1.064547
left	0.559701	1.066930	0.372705
left	0.781800	1.413124	0.697599
left	0.525970	0.985882	0.809433
left	0.186396	0.749050	1.821533
left	0.556663	0.648356	0.444534
left	0.872392	0.596917	1.432570
left	0.342578	0.981869	0.543712
left	0.875162	0.577860	0.964308
left	0.529170	0.684012	1.213674
left	0.378505	0.680275	1.646362
left	0.159474	1.429552	0.320510
left	0.599148	1.472113	1.023296
left	0.393115	0.909341	0.771226
left	0.552283	0.917161	1.163308
left	0.085353	1.075909	0.317919
left	0.926429	0.784013	1.478032
left	0.350542	0.555938	1.939571
left	0.439481	1.393744	1.578747
left	0.087486	1.172296	1.516406
left	0.615870	0.891334	1.489063
left	0.282406	1.141149	0.541838
left	0.771113	0.740467	0.232172
left	0.999661	0.577128	0.240790
left	0.307619	1.188608	1.851428
left	0.467268	0.602444	1.545472
left	0.365205	0.871344	1.024489
left	0.418210	1.376844	1.983235
left	0.566738	0.691041	0.702381
left	0.153189	0.913448	0.922638
left	0.448752	1.091635	0.134645
left	0.364921	1.157554	1.515843
left	0.189514	1.438810	1.929624
left	0.374770	0.740856	1.133320
left	0.560289	1.329436	0.314879
left	0.606280	1.189925	0.616055
left	0.245288	0.938972	1.599277
left	0.055286	1.478943	0.788607
left	0.363514	1.294790	1.708173
left	0.758662	0.866981	0.442106
left	0.290799	0.620335	0.926782
left	0.461183	0.635718	1.918329
left	0.293491	1.359475	0.856118
left	0.084411	1.469081	1.212796
left	0.787558	1.492574	1.454976
left	0.286148	1.300437	1.973127
left	0.015309	1.432690	0.599690
left	0.880216	1.432631	0.660385
left	0.476640	0.964878	1.250757
left	0.592056	1.410503	1.448244
left	0.626449	0.571259	0.743790
left	0.544695	1.045525	1.392107
left	0.157122	1.269657	1.252249
left	0.534896	0.978571	1.535025
left	0.565956	0.636848	0.247849
left	0.888740	0.999410	0.482149
left	0.946008	0.544871	1.284020
left	0.798574	1.004908	0.736316
left	0.558594	0.755788	1.548272
left	0.596634	0.930156	1.330592
left	0.273660	0.745574	0.700050
left	0.671771	0.799569	0.516069
left	0.478845	0.565981	1.820361
left	0.132428	0.709114	1.156062
left	0.749292	0.863888	1.955252
left	0.689082	0.620392	0.970772
left	0.062538	0.858029	1.675053
left	0.378663	1.283867	0.513549
left	0.101467	0.567422	0.825935
left	0.956280	0.889195	1.180901
left	0.743409	1.252694	0.431441
left	0.441302	1.350362	0.551137
left	0.796480	0.865888	1.397917
left	0.474767	1.334845	0.319838
left	0.656955	0.839775	1.056248
left	0.206111	0.890888	0.248073
left	0.858008	0.808191	1.398937
left	0.890861	0.854216	1.722199
left	0.639992	0.884119	0.572322
left	0.807224	1.318861	0.892575
left	0.428304	1.072526	0.696980
left	0.885458	0.880090	1.759254
left	0.014430	1.382900	0.573293
left	0.703639	1.308540	0.231876
left	0.483668	1.071607	1.683548
left	0.603662	1.248796	0.337271
left	0.839647	0.704409	1.718869
left	0.322846	0.785242	1.652301
left	0.901564	1.170284	0.534004
left	0.842996	0.517116	1.505245
left	0.688040	1.169091	1.948418
left	0.115221	1.173938	0.444660
left	0.213088	1.055559	0.687535
left	0.022020	0.679825	1.359232
left	0.093352	1.330809	1.905349
left	0.834315	0.747305	0.690659
left	0.460278	1.029316	1.593034
left	0.293339	0.810797	1.322061
left	0.119718	0.867536	1.744796
left	0.724710	1.164311	1.162178
left	0.178414	0.611336	0.454223
left	0.746412	1.383736	1.629097
left	0.448706	1.157482	1.331654
left	0.832346	0.728377	1.826205
left	0.112140	0.721049	1.789963
left	0.093336	1.419397	0.396111
left	0.569061	0.603196	0.613234
left	0.795448	1.315411	1.606090
left	0.212720	1.173904	1.563011
left	0.227709	0.835889	1.826142
left	0.170800	0.639438	1.168675
left	0.487877	0.768607	1.416715
left	0.171721	1.333756	0.596974
left	0.493752	1.479801	0.698369
left	0.294582	0.530086	0.101638
left	0.957872	0.671781	1.675778
left	0.938380	1.316470	1.007484
left	0.208048	0.513987	0.445756
left	0.806115	1.099255	1.661786
